PLATE MJD FIBER
7328 56715 0158
7328 56715 0279
7328 56715 0282
7328 56715 0366
7328 56715 0444
7328 56715 0540
7328 56715 0563
7328 56715 0614
7328 56715 0642
7328 56715 0712
7328 56715 0722
7328 56715 0772
7328 56715 0818
7328 56715 0962
7328 56715 0984
7329 56719 0070
7329 56719 0074
7329 56719 0078
7329 56719 0080
7329 56719 0118
7329 56719 0164
7329 56719 0235
7329 56719 0240
7329 56719 0322
7329 56719 0535
7329 56719 0536
7329 56719 0573
7329 56719 0637
7329 56719 0710
7329 56719 1000
7374 56751 0115
7374 56751 0173
7374 56751 0174
7374 56751 0197
7374 56751 0202
7374 56751 0228
7374 56751 0234
7374 56751 0238
7374 56751 0244
7374 56751 0284
7374 56751 0318
7374 56751 0326
7374 56751 0344
7374 56751 0350
7374 56751 0369
7374 56751 0386
7374 56751 0418
7374 56751 0460
7374 56751 0470
7374 56751 0496
7374 56751 0532
7374 56751 0660
7374 56751 0672
7374 56751 0694
7374 56751 0713
7374 56751 0784
7374 56751 0820
7374 56751 0838
7374 56751 0909
7374 56751 0936
7376 56749 0046
7376 56749 0054
7376 56749 0079
7376 56749 0091
7376 56749 0106
7376 56749 0140
7376 56749 0184
7376 56749 0206
7376 56749 0232
7376 56749 0244
7376 56749 0350
7376 56749 0356
7376 56749 0362
7376 56749 0394
7376 56749 0430
7376 56749 0458
7376 56749 0534
7376 56749 0546
7376 56749 0649
7376 56749 0676
7376 56749 0694
7376 56749 0737
7376 56749 0748
7376 56749 0809
7376 56749 0818
7376 56749 0830
7376 56749 0864
7376 56749 0899
7376 56749 0924
7376 56749 0936
7376 56749 0942
7376 56749 0958
7377 56741 0088
7377 56741 0104
7377 56741 0192
7377 56741 0216
7377 56741 0263
7377 56741 0292
7377 56741 0346
7377 56741 0347
7377 56741 0365
7377 56741 0384
7377 56741 0398
7377 56741 0410
7377 56741 0426
7377 56741 0463
7377 56741 0536
7377 56741 0570
7377 56741 0626
7377 56741 0631
7377 56741 0644
7377 56741 0652
7377 56741 0666
7377 56741 0680
7377 56741 0714
7377 56741 0722
7377 56741 0786
7377 56741 0840
7377 56741 0846
7377 56741 0866
7377 56741 0870
7377 56741 0936
7377 56741 0968
7377 56741 0996
7378 56715 0024
7378 56715 0104
7378 56715 0193
7378 56715 0342
7378 56715 0412
7378 56715 0424
7378 56715 0452
7378 56715 0544
7378 56715 0554
7378 56715 0558
7378 56715 0586
7378 56715 0626
7378 56715 0780
7378 56715 0796
7378 56715 0806
7378 56715 0856
7378 56715 0916
7378 56715 0938
7379 56713 0014
7379 56713 0071
7379 56713 0083
7379 56713 0098
7379 56713 0108
7379 56713 0167
7379 56713 0176
7379 56713 0192
7379 56713 0216
7379 56713 0219
7379 56713 0225
7379 56713 0288
7379 56713 0354
7379 56713 0404
7379 56713 0500
7379 56713 0686
7379 56713 0729
7379 56713 0733
7379 56713 0765
7379 56713 0769
7379 56713 0818
7379 56713 0884
7379 56713 0927
7379 56713 0972
7380 56753 0158
7380 56753 0160
7380 56753 0204
7380 56753 0212
7380 56753 0215
7380 56753 0240
7380 56753 0250
7380 56753 0262
7380 56753 0263
7380 56753 0270
7380 56753 0272
7380 56753 0274
7380 56753 0276
7380 56753 0277
7380 56753 0282
7380 56753 0285
7380 56753 0287
7380 56753 0292
7380 56753 0294
7380 56753 0297
7380 56753 0306
7380 56753 0310
7380 56753 0330
7380 56753 0340
7380 56753 0368
7380 56753 0498
7380 56753 0500
7380 56753 0552
7380 56753 0558
7380 56753 0573
7380 56753 0586
7380 56753 0596
7380 56753 0604
7380 56753 0614
7380 56753 0636
7380 56753 0638
7380 56753 0640
7380 56753 0680
7380 56753 0716
7380 56753 0724
7380 56753 0726
7380 56753 0730
7380 56753 0759
7380 56753 0762
7380 56753 0775
7380 56753 0797
7380 56753 0825
7380 56753 0827
7380 56753 0838
7380 56753 0877
7380 56753 0881
7380 56753 0888
7380 56753 0909
7380 56753 0920
7380 56753 0923
7380 56753 0949
7381 56717 0128
7381 56717 0140
7381 56717 0310
7381 56717 0336
7381 56717 0346
7381 56717 0348
7381 56717 0349
7381 56717 0360
7381 56717 0390
7381 56717 0428
7381 56717 0472
7381 56717 0476
7381 56717 0492
7381 56717 0635
7381 56717 0672
7381 56717 0680
7381 56717 0696
7381 56717 0885
7381 56717 0908
7381 56717 0922
7383 56749 0133
7383 56749 0154
7383 56749 0170
7383 56749 0172
7383 56749 0176
7383 56749 0232
7383 56749 0234
7383 56749 0247
7383 56749 0348
7383 56749 0358
7383 56749 0360
7383 56749 0375
7383 56749 0386
7383 56749 0388
7383 56749 0389
7383 56749 0391
7383 56749 0392
7383 56749 0398
7383 56749 0400
7383 56749 0414
7383 56749 0433
7383 56749 0538
